STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
MD,24,-0.0530372349245566,0.152753748378562,-0.195616389014597,0.18078340369348,0.283090371458274,-0.0127870269153437,0.185166215707787,-1.04395040462845,-1.30435018214139,1.40987918752629,-0.899010196640458,-0.658907898679612,-0.499661111234601,-0.453764017723044,-0.727169264625705,-0.895246083337826,-1.13566743079164,-1.30002235611375,1.08674066660002,-1.33399499525433,-0.672011112308137,0.131759359386447,-0.347028219085154,-0.846309376902138
MA,25,0.0620099138609163,0.33034055100323,-0.360092363411901,0.663553835180987,-0.778298667821658,-1.0832299929079,-1.60024920081755,-1.12932242990511,-1.02527230448558,2.06392234796054,-0.853438157967823,-0.581074192990784,-0.416193994813105,0.127914005757276,-1.0412231154842,-1.21071207733529,-1.48784670784454,-1.56038957545872,1.41855171892437,-0.73286523387933,0.898957603898723,1.06677448995333,1.64188974752321,-0.18142910252718
MI,26,0.482400721660094,-0.152178619169927,0.817836400711281,0.511178224982984,0.0573722856328467,1.17132982463992,0.183000495381518,0.478316620205485,-0.0111538061688097,-0.0927848054958425,-0.526140763167652,0.231658642027417,-0.0668138673134282,0.444429024480554,-0.437275169485335,-0.3290374957536,-0.33078528164278,0.0949827661160745,0.257459973912638,-0.202456620901386,0.0327225173921373,-0.205588121697886,0.414968951992548,-0.183543293990064
MN,27,-0.10820184980871,-0.23073500528599,-1.66668601352515,-0.070612160216019,-1.16694762377451,-1.9466614086552,-0.723101064331255,-0.75491913757343,-0.732083185704549,0.325576737699299,0.1496297855678,-0.334278496990154,-1.21607371702675,-0.303715323600199,0.165348979357086,0.669736372747732,0.94404658169245,1.59756153532327,-0.920582644387213,-1.36935556945286,-0.696481030006065,-0.103792651976703,-0.140639699875559,0.121081457712993
MS,28,-0.470055655135889,-0.23320350540424,1.13148447187622,-0.679761861009494,2.54418754013423,2.35370211084456,2.24744480200946,1.21370098736054,1.2497373954909,-0.956217868296061,0.818228328613519,0.785749563224778,1.76574682453955,-0.171670476393862,0.178338560889079,0.539534716430453,0.807082788209427,0.475000521232472,-0.531801081558307,2.7678316117751,0.620000542142368,-2.14699960123588,-0.548720541178994,1.37065534383552
MO,29,-0.0405725926005177,-0.215851401631838,0.044604412097136,0.155790598045182,0.669817209155192,0.944084961835595,0.601480834229593,1.16962336444377,0.630429113666484,-0.281795799950084,-0.223606563345174,1.28327904736888,-0.364055910352961,0.296023341512936,0.765931992781427,0.613575338670022,0.693444255747171,0.463074915732928,-0.671641323889351,-0.0963748983057972,-0.0896270710974938,-0.0396895122421562,-0.201821950368425,1.60345249075396
MT,30,-0.729186069905087,-0.274151566189323,-0.385953546294386,0.959336372157646,-1.47292791021325,-0.495391329579456,-0.370379531633903,0.272124197189315,0.802475452707318,-0.383809313434449,2.67368005815475,-1.19586675039431,-1.33448226297908,1.03233595702215,2.19276150153173,2.62394856596501,1.26885608980365,0.51453438520902,-1.75458681270659,-0.414620066092564,-0.319644297458,0.520184097415128,-0.926898697153242,-0.0164469889279941
NE,31,-0.611583851492067,-0.261809065598075,-0.793244200546914,-0.547539202271566,-0.445022769532524,-0.831194735351482,-0.551259793873781,-0.405615399371163,0.741550075045574,-0.330290209521495,1.74664330116601,-0.0135901346885768,-0.835152981905481,-0.295149534190376,1.32155061658755,0.66886395799341,0.922845670254786,1.85504587177452,-1.2813372735045,-0.343898917695504,-1.09778768025206,-0.520588414837985,0.611361080062752,1.92052731293763
NV,32,-0.45592553726742,-0.261228242040839,-0.179584855163927,-0.494239915028206,0.0633255791289802,1.2188051737216,-0.199599942090928,0.328365231198999,0.760568430072951,-0.936139699610953,-0.620684339983949,1.03368444276856,1.45094450285923,-0.485002113686286,-0.836230045030427,-0.700108617149603,-1.01436504585363,-0.675032735078218,0.853760560036382,0.327951992076557,-0.437099902408047,1.1935778303067,-1.94744037887181,-1.37644856241736
NH,33,-0.689660676596681,-0.172362237783851,0.291122787720245,1.5670238194566,-0.891376579104317,-0.675304539615534,-1.65760659323318,-0.672730020185163,-0.0126466015631346,0.320469859518462,-0.0919931557255147,-0.81410576711357,-2.12627196873687,0.794508608225851,-0.320792012653801,0.0298509747997331,-0.618719317501674,-0.176013029080484,0.27538237667562,-2.00584590502639,-1.33759287369173,-0.592743837768232,1.4079449902768,-0.00821568707508023
