STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
MS,28,2976149,63.2,1150036,35.9926699547636,13.4022922923928,232.381487010008,50.0310188077803,19.2416863288194,70.1818999641725,6815,95,824,0.737928000522345,862091,461519,0.0619568210462581,0.0806354530636739,0.120955721302932,0.209303791913644,0.527220817573314,19.1,47.84,18.088466678,8268852.70967742,0.07399793952734
MO,29,6137428,87.1,2137650,37.8725876412645,10.3392684868828,193.019280768053,40.5223523337814,19.1199865057008,63.0266552761696,18862,106,1888,0.40934087923973,1274410,1007033,0.08221015138589,0.0834555082356974,0.117129886981974,0.208842664223515,0.508254410316504,11,46.39,24.347587446,17622739.6774194,0.076716346303495
MT,30,1068778,6.8,356113,39.6804931728647,6.83767693835575,152.823286626722,34.9079547775827,16.6419606350651,65.0144111154518,3158,62,165,0.25962297513426,269531,190523,0.131390499243061,0.160026493808817,0.136502104272356,0.210832448834089,0.361375480221337,10.1,45.92,26.010520944,2861125.61290323,0.057800540072415
NE,31,1934408,23.8,616905,36.2901590136777,8.51743993058507,143.446298751651,33.8630169058938,14.770698448863,64.3105032271307,5836,87,440,0.336659767486943,13037,295373,0.101361365337612,0.0855613381458306,0.124853075462881,0.262666040463025,0.425561892837499,10.3,44.33,22.919224186,5976007.61290323,0.080418875980434
NV,32,3080156,24.6,1048591,36.4100776036847,9.34816322347277,200.690579068229,35.8945414765133,16.7972440518661,64.5302338326755,7125,36,900,0.68936012756427,147481,459059,0.0269863941956187,0.0334199855461866,0.0596335844677997,0.164835426842017,0.715143306377989,12.2,45.68,28.010631284,7403034.06451613,0.041919600198825
NH,33,1359711,147,485340,41.0477351307597,7.78802572582417,147.799382878054,27.4716967278014,14.0331858528046,55.596810995991,5130,26,242,0.13746522981176,6773,236157,0.0447526525857333,0.0612226465771035,0.072953670301998,0.18413103446247,0.636698389584257,5.6,43.84,22.704908548,4490904.22580645,0.057896658203714
NJ,34,8882190,1195.5,3106880,38.9707004979503,8.36916942432637,164.652278762353,31.1153978663122,13.4883659433384,39.6781216408562,34088,64,1822,0.444400717964376,0,1418603,0.0218945574233382,0.0196569574620673,0.0540506431409371,0.158989423892081,0.745327670540711,8.2,48.1,27.1502529,27549441.7096774,0.045673178674739
NM,35,2096829,17,701585,36.5920203414291,8.02384901795719,145.97634588256,34.6193764233369,16.6504817827304,56.1794033152177,6530,42,340,0.771029721963683,647467,352601,0.037132133807764,0.0296019093593231,0.0711651574830375,0.155526609942919,0.706725334302416,17.2,47.88,24.418126419,6765166.61290323,0.045852053696664
NY,36,19453561,411.2,6419321,37.9629311251353,8.87725844094698,179.535799714352,25.4639889226443,14.027580833338,37.4887311818229,95485,165,3952,0.544662978919118,646095,3162193,0.0252101467695298,0.0201841040311334,0.0525207522160082,0.135777473954511,0.76616943514866,12.1,51.37,31.352515124,63533479,0.055948212911853
NC,37,10488084,196.1,3713582,37.3793915898309,9.99763518888403,157.434915212614,43.2676048911651,16.2514182633765,58.9919163124228,32508,106,2227,0.581607045760534,881660,1630445,0.0382753538205834,0.0433486557697288,0.0872210518146117,0.186768716383278,0.644346630232939,13.6,47.69,22.202710584,30349417.1612903,0.050497828609173
ND,38,762062,9.7,243096,36.9862563924445,8.4506372380693,141.190853295127,33.3573740555233,17.2424499254287,49.1750499094171,2183,44,238,0.201020227555892,113275,113208,0.15283329046718,0.157256665468164,0.140809398710341,0.253341090357478,0.295823959205419,10.1,45.79,23.157012912,2214216.19354839,0.063067675217601
OH,39,11689100,282.3,4268748,38.6763291096359,10.2543558452149,186.40609136005,40.9001728140659,19.1604985965104,63.0023851993962,40466,156,3314,0.443694533092341,292953,1943136,0.0674879655405463,0.0758768533077825,0.11601538535901,0.213228167181391,0.527538715983267,12.4,46.53,23.873599342,36041340.9354839,0.05997263056885
OK,40,3956971,54.7,1461941,36.2997098713975,11.2100185920698,226.076569680699,42.6985643199135,18.2800376751272,77.0612362217445,8484,118,1064,0.623702740903745,469624,602823,0.086378719227409,0.0932844132544818,0.142983344330802,0.233153912171709,0.444324751937783,12.4,46.72,22.875063845,11364641.6451613,0.067962125488384
OR,41,4217737,39.9,1418689,38.5864122644524,8.28442031224758,133.249114530153,37.1567926507971,14.8143158606846,53.8964213440529,15674,59,663,0.524835488829705,329032,708817,0.0264843590294985,0.0302143673254164,0.068070150414784,0.174805920094117,0.700175104327273,9.8,46.1,27.620757552,11363050.8387097,0.037358362783276
PA,42,12801989,283.9,4738414,39.9727962155249,9.10620854434976,176.963310189848,37.9299219649162,17.3481734270335,49.5853909492108,48993,162,3169,0.411046723963189,12902,2279687,0.0243785789848749,0.025228039877241,0.0669143087062487,0.154393874108156,0.72919739698261,10.5,47.06,25.577439571,36527311.3548387,0.051685797777916
RI,44,1059361,1018.1,393069,39.2713627443099,8.40522654081329,160.324082510888,27.6809059740948,13.9850954472394,47.2882125478216,5177,10,279,0.510548707055135,0,177955,0.0178029576320065,0.0121191293619455,0.0464205497464981,0.146448398610106,0.776569290355224,9.8,47.48,24.984271633,3183677.87096774,0.052880256391588
SC,45,5148714,153.9,1912134,37.8285714931983,11.3244850295832,176.676225298857,45.013582666208,16.6452882589764,63.7664648778443,14415,57,1225,0.615574528350688,686734,864577,0.0699506255348423,0.0626124628402354,0.109739442703557,0.196249208054671,0.5614682314846,14.4,47.27,20.992402813,15031710.5483871,0.05350747907644
SD,46,884659,10.7,281110,37.3065974518565,8.65023181699822,151.030374402163,35.3773146003107,15.8585834367516,54.7745856443983,2505,56,152,0.313927072238877,111126,140617,0.127481504172794,0.129498537854699,0.153498746974823,0.221630050674893,0.368049620249158,10.6,44.57,21.167328506,2870758.06451613,0.067006777605064
TN,47,6829174,153.9,2610800,37.9609429380459,11.5376107716237,201.439287947876,45.987392588785,20.5847497359622,65.5618866441852,21438,100,2209,0.525400745730065,682235,1076602,0.0792861151290039,0.0733655158003003,0.13139134776768,0.205349396134877,0.510791205642146,12.1,48.02,21.263978692,20408838.0322581,0.064366989541962
TX,48,28995881,96.3,8977387,33.8131509733956,9.7831753847183,166.10975556101,41.8364063425191,14.2926057461514,51.1377625960979,75666,384,6199,0.648490160437421,1941020,3472712,0.0282579245652167,0.0338691854887941,0.0660928254257907,0.154541046881797,0.717206119034631,12.7,48.06,21.346394844,77665028.483871,0.065371090113941
UT,49,3205958,33.6,796721,29.361935019558,7.49335646870319,154.101939543293,38.6414757181429,8.94783653809712,45.1935621151464,8113,45,565,0.301649261191893,148033,335572,0.0508020635329596,0.0553050298849829,0.114381860897741,0.247135735714566,0.53225119449475,7.6,42.64,25.637410071,9404094,0.048292637031467
VT,50,623989,67.9,226397,41.3601444358046,6.9730111336598,151.118965701686,31.3934879346766,13.9621304309504,55.0621478079959,3117,14,94,0.200296348868512,0,116869,0.0429039133702677,0.0834037667330674,0.0671194011432894,0.135219999070496,0.671115088567266,9,44.66,24.039919303,2036861.19354839,0.056150035073607
