STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
HI,15,1415872,211.8,34336.1546806491,38.6293085982241,9.18528642560917,133.58976544026,35.5158022824502,11.7169516040762,27.8052479670762,392.267097590743,1.4831849206708,14.1961985264205,0.468729817295569,15525.4853546083,17908.3984992994,0.013016527623966,0.0157790499423677,0.0291571815813859,0.141243697876644,0.800115290788998,9.4,44.12,27.667032715,236531.721748494,0.040704664102531
ID,16,1787065,19,29911.2231508087,34.9852801378172,8.0217707364235,157.040768654572,36.3354975008665,13.5518309168611,58.1613156307576,204.469339391684,2.35022229185844,17.5707095153226,0.387583340915102,13232.47895292,14823.2436984665,0.111857171395556,0.12550368956921,0.133503800365404,0.217222054597902,0.411875486901707,10,44.99,24.066979,258075.879146949,0.056872899411772
IL,17,12671821,231.1,34758.6664931583,36.6653919683418,9.05353267540899,167.848293794561,38.0367879645996,14.4186827105148,49.1636554617034,365.598598654448,1.3889085080984,24.8109565310305,0.485673988539433,5001.02550375356,15352.1581468046,0.0318759649461589,0.0327070044628945,0.0795184062338002,0.177858542430484,0.677916759004093,10.4,48.16,25.05860039,329439.563630607,0.067304121271888
IN,18,6732219,181,36068.1671229055,36.8526702070779,10.6969235541951,180.571534238969,39.8499235640578,19.3641443389727,69.2403175790114,264.04369792486,1.75276532150841,27.6431886722639,0.471401537221689,5951.12844665332,15223.6580539047,0.0694696282161944,0.0807231192271077,0.11695987935033,0.232288251020949,0.500516881580947,11.1,45.01,22.549076319,322660.498044385,0.065732012567346
IA,19,3155070,54.5,33822.7994941475,38.0567444778361,8.44088161348734,157.326886375626,32.3251710551955,15.8968305230154,58.3817753715371,234.638217218635,3.67662207177654,17.2737847337777,0.290089134592992,6216.34385290976,16673.386010453,0.0752294415020903,0.0991926600677639,0.148233656305565,0.227975959328953,0.449408058775241,8.6,44.21,22.942046644,321071.324321112,0.085254658992217
KS,20,2913314,34.9,33752.7297091903,36.2673941483872,9.09714250877124,155.142021188355,38.2045343215966,15.8367043719265,62.6046611151278,290.974470997634,4.53092251641945,26.3274058340433,0.383945941669343,13397.5603041759,15431.3266609778,0.0662087842230532,0.0712236120102399,0.112954040312853,0.223430993363572,0.526334002788577,10.4,45.84,24.545187277,308055.911583853,0.075792000625829
KY,21,4467673,109.9,40053.1551883945,37.9297259288667,11.2547406432993,197.112680797296,40.6281889140682,20.9645981824023,77.1084336458537,279.340050178247,2.03685453254972,31.1571594429583,0.556580583886589,10129.7700167403,15922.1366469748,0.0691031637722814,0.0713303216238073,0.114189021219772,0.213283324898667,0.53186935324049,14.2,47.75,23.326482986,322370.844090208,0.059066198555949
LA,22,4648794,104.9,38855.8839131181,35.8406092904301,11.7876378815522,213.561536642448,46.0034069474148,20.563937778692,58.6958083020993,335.786012458285,2.38771603990196,27.727621400303,0.718300794445811,11824.0128515051,15001.3745500446,0.066815107316005,0.0651579119229632,0.106704327617012,0.206483306423128,0.554738401400449,19.1,49.27,21.635146443,311185.078497014,0.077713603838296
ME,23,1344212,43.1,39488.4884229571,42.7114508025977,8.27187089996742,151.155798697553,33.4515451238938,15.0983221898403,61.2753992964755,367.873519950722,2.45496990058116,19.0446149863266,0.293404676166539,0,19804.4653670701,0.0527985079734447,0.0578873012590276,0.0817600482661961,0.196806572177603,0.610890121498692,11.5,45.27,24.370393587,294517.17149455,0.059558660716984
MD,24,6045680,594.8,33987.2107025182,37.9288192002341,9.70729438309052,166.299548679915,38.1173198219741,13.0082336858049,40.6729750734686,503.830834579402,0.777414616718053,18.7571952203888,0.388419635286638,1258.63426446653,14963.924653637,0.0307455308583981,0.0259876004022707,0.0555497335287346,0.140668937323841,0.746742190291249,7.5,45.2,24.856823936,283243.478361088,0.048110114014335
MA,25,6892503,839.4,33410.3445439197,39.0150091370094,7.97281329336704,136.408456033041,27.8030480361986,12.7725186066352,43.8973312789973,579.803882566319,0.841494011681968,19.2382941291429,0.401296987286134,339.528325196231,16084.2730137368,0.0199206372489065,0.0139721488695761,0.0436930196475794,0.130601311453909,0.791745427169201,9.2,48.41,27.634000704,336554.380055192,0.05587401948791
MI,26,9986857,174.8,37541.6910445398,38.6721777546128,9.33843458052615,199.364875501642,38.1048085442903,17.2112649611361,55.6140581677615,329.282776352961,1.30171083855511,24.261887398608,0.455199542883268,5128.23003273202,16693.9007938133,0.0407376794320776,0.0475533221312771,0.0826474589553049,0.194609635744259,0.63426759009366,10.7,46.64,23.854836314,303668.029277977,0.055849331760956
